시,군구,성별,사망자수,사망률,연령표준화
서울특별시,종로구,계,35,23.2,20.5
서울특별시,종로구,남자,21,28.2,24.1
서울특별시,종로구,여자,14,18.3,16.8
서울특별시,중구,계,31,25.2,19.8
서울특별시,중구,남자,26,42.5,33.9
서울특별시,중구,여자,5,8.1,6
서울특별시,용산구,계,53,23.5,19.9
서울특별시,용산구,남자,33,30.1,25.4
서울특별시,용산구,여자,20,17.3,15.6
서울특별시,성동구,계,77,26.4,22.5
서울특별시,성동구,남자,50,34.5,30.2
서울특별시,성동구,여자,27,18.4,15.2
서울특별시,광진구,계,72,20.2,17.5
서울특별시,광진구,남자,53,30.3,27.4
서울특별시,광진구,여자,19,10.5,8.2
서울특별시,동대문구,계,101,28.4,23
서울특별시,동대문구,남자,73,41,33.9
서울특별시,동대문구,여자,28,15.8,12.6
서울특별시,중랑구,계,97,23.6,19.8
서울특별시,중랑구,남자,72,35.2,30.3
서울특별시,중랑구,여자,25,12.1,10.5
서울특별시,성북구,계,94,20.6,17.9
서울특별시,성북구,남자,67,30,25.9
서울특별시,성북구,여자,27,11.6,10.8
서울특별시,강북구,계,100,30.6,26.1
서울특별시,강북구,남자,76,47.2,39.9
서울특별시,강북구,여자,24,14.4,13.2
서울특별시,도봉구,계,91,26.1,21.8
서울특별시,도봉구,남자,58,33.8,29.1
서울특별시,도봉구,여자,33,18.7,15.4
서울특별시,노원구,계,146,25.5,21.3
서울특별시,노원구,남자,99,35.5,32.7
서울특별시,노원구,여자,47,16,11.7
서울특별시,은평구,계,115,23.4,20.2
서울특별시,은평구,남자,79,33,28.5
서울특별시,은평구,여자,36,14.3,13.1
서울특별시,서대문구,계,69,22.6,18.6
서울특별시,서대문구,남자,49,33,27.9
서울특별시,서대문구,여자,20,12.8,9.8
서울특별시,마포구,계,91,23.9,20.7
서울특별시,마포구,남자,63,34.4,29.8
서울특별시,마포구,여자,28,14.2,13.1
서울특별시,양천구,계,119,24.8,21.3
서울특별시,양천구,남자,82,34.5,30.8
서울특별시,양천구,여자,37,15.2,13.2
서울특별시,강서구,계,143,24.6,21
서울특별시,강서구,남자,101,35.6,31.7
서울특별시,강서구,여자,42,14.2,11.4
서울특별시,구로구,계,89,21.2,17.3
서울특별시,구로구,남자,61,29.1,23.9
서울특별시,구로구,여자,28,13.3,11.5
서울특별시,금천구,계,57,24.4,19.8
서울특별시,금천구,남자,42,35.3,29.7
서울특별시,금천구,여자,15,13.1,10.2
서울특별시,영등포구,계,85,22.8,19.3
서울특별시,영등포구,남자,59,31.6,26.6
서울특별시,영등포구,여자,26,13.9,11.9
서울특별시,동작구,계,92,23.1,19.7
서울특별시,동작구,남자,66,33.7,29.4
서울특별시,동작구,여자,26,12.8,10.7
서울특별시,관악구,계,119,23.6,20.9
서울특별시,관악구,남자,82,32.2,29.7
서울특별시,관악구,여자,37,14.8,13.5
서울특별시,서초구,계,67,15.2,13.9
서울특별시,서초구,남자,32,15.1,13.9
서울특별시,서초구,여자,35,15.3,13.9
서울특별시,강남구,계,116,20.5,18.8
서울특별시,강남구,남자,67,24.7,23.7
서울특별시,강남구,여자,49,16.6,15.2
서울특별시,송파구,계,128,19.6,17.9
서울특별시,송파구,남자,77,24.1,22.4
서울특별시,송파구,여자,51,15.2,14
서울특별시,강동구,계,114,24.7,22.7
서울특별시,강동구,남자,78,33.9,31.7
서울특별시,강동구,여자,36,15.5,14.2
부산광역시,중구,계,14,31.1,25
부산광역시,중구,남자,12,54.2,41.7
부산광역시,중구,여자,2,8.8,8.7
부산광역시,서구,계,48,41.9,34.4
부산광역시,서구,남자,36,63.8,51.3
부산광역시,서구,여자,12,20.6,17.7
부산광역시,동구,계,42,45.9,36.8
부산광역시,동구,남자,28,61.7,44.1
부산광역시,동구,여자,14,30.4,31.2
부산광역시,영도구,계,60,46.6,32.3
부산광역시,영도구,남자,48,75.1,51.1
부산광역시,영도구,여자,12,18.5,15.7
부산광역시,부산진구,계,114,30.1,25.2
부산광역시,부산진구,남자,77,41.4,34.8
부산광역시,부산진구,여자,37,19.1,16.6
부산광역시,동래구,계,72,26.5,21
부산광역시,동래구,남자,56,41.9,35.1
부산광역시,동래구,여자,16,11.6,8.6
부산광역시,남구,계,63,22.3,17.5
부산광역시,남구,남자,44,31.6,24.4
부산광역시,남구,여자,19,13.3,12.2
부산광역시,북구,계,73,23.8,19.9
부산광역시,북구,남자,46,30.2,25.6
부산광역시,북구,여자,27,17.5,15.5
부산광역시,해운대구,계,118,28.1,24.8
부산광역시,해운대구,남자,76,37.2,32.2
부산광역시,해운대구,여자,42,19.5,19
부산광역시,사하구,계,107,31.7,26.9
부산광역시,사하구,남자,79,46.8,39.5
부산광역시,사하구,여자,28,16.6,14.9
부산광역시,금정구,계,62,25.3,20.2
부산광역시,금정구,남자,46,38.1,32.3
부산광역시,금정구,여자,16,12.8,9.4
부산광역시,강서구,계,22,25.5,23.3
부산광역시,강서구,남자,16,35.7,30.4
부산광역시,강서구,여자,6,14.4,17.2
부산광역시,연제구,계,52,25.1,22.4
부산광역시,연제구,남자,35,34.4,30.7
부산광역시,연제구,여자,17,16.1,14.8
부산광역시,수영구,계,49,27.6,22.9
부산광역시,수영구,남자,28,32.9,27.7
부산광역시,수영구,여자,21,22.7,19.1
부산광역시,사상구,계,79,33.2,29.5
부산광역시,사상구,남자,60,49.6,46.9
부산광역시,사상구,여자,19,16.2,14.9
부산광역시,기장군,계,34,22.9,19.8
